"Date","VALF","VIRG251LF","BLAC951LF","CHAR851LF","HARR551LF","LYNC351LF","RICH051LF","ROAN251LF","WINC051LF","WASH911LF"
"01/01/2005","3837081","780231","82397","101771","60643","114866","584009","146860","60431","2871781"
"02/01/2005","3849121","780940","82572","101884","60811","115032","584638","147221","60570","2874018"
"03/01/2005","3862729","784385","82905","102441","61032","115495","587178","147701","60778","2878891"
"04/01/2005","3877510","789430","83375","103496","61136","115782","591105","148408","61007","2888682"
"05/01/2005","3892713","793259","83765","104017","61041","115814","593682","148893","61170","2898117"
"06/01/2005","3906471","795212","83972","104268","61079","116010","594287","149369","61223","2904072"
"07/01/2005","3917286","797325","84233","104653","61401","116494","594382","150203","60118","2911462"
"08/01/2005","3924614","799745","84429","105140","61562","117064","594998","150739","60511","2919177"
"09/01/2005","3928990","799959","84517","105287","61410","117650","596899","150873","60885","2922779"
"10/01/2005","3931555","797630","84622","104656","61360","118095","598468","151008","63458","2924175"
"11/01/2005","3933417","795255","84454","104160","61442","118212","598277","150950","63483","2927395"
"12/01/2005","3935362","794351","83988","104659","61527","117980","597433","150927","63432","2932441"
"01/01/2006","3938536","794712","83707","105609","61806","117776","596739","151389","63467","2936172"
"02/01/2006","3943445","795718","83818","105995","62225","117955","597145","152029","63658","2938959"
"03/01/2006","3949778","797527","84091","106437","62629","118277","598619","152349","63912","2941640"
"04/01/2006","3956779","799817","84407","107460","63071","118421","600171","152404","64154","2944999"
"05/01/2006","3963948","801910","84550","108048","63482","118575","601963","152722","64383","2951799"
"06/01/2006","3971051","802940","84352","108207","63935","119085","604566","153320","64589","2958462"
"07/01/2006","3978576","803261","84148","108435","64349","119631","608197","153717","64795","2962841"
"08/01/2006","3986614","804570","84014","108957","64489","119916","610351","153931","64991","2969014"
"09/01/2006","3994743","806894","83986","109547","64611","120092","611255","154033","65117","2974840"
"10/01/2006","4002449","809227","84419","109869","64846","120202","613141","154208","65205","2978008"
"11/01/2006","4008845","810353","85054","110278","65044","120378","614209","154563","65325","2982489"
"12/01/2006","4013025","810504","85269","110508","64988","120523","613610","154751","65392","2987308"
"01/01/2007","4014681","809631","85093","110389","64561","120401","612601","154561","65312","2986537"
"02/01/2007","4014661","808552","84933","110661","64169","120261","612013","154365","65189","2982847"
"03/01/2007","4013982","808736","84748","111127","64087","120201","610753","154342","65117","2980989"
"04/01/2007","4013980","808937","84626","111258","64100","120193","609488","154244","65057","2979845"
"05/01/2007","4015729","809724","84619","111230","64100","120404","610974","154402","65013","2981354"
"06/01/2007","4019911","813239","84481","111225","64033","120712","613776","154812","65018","2985921"
"07/01/2007","4026515","817040","84469","111423","63822","120994","615310","155013","65056","2988561"
"08/01/2007","4035310","818922","84677","111692","63772","121325","616736","155109","65148","2991772"
"09/01/2007","4045825","819234","84929","112083","64143","121630","618592","155378","65207","3000175"
"10/01/2007","4057149","818328","85409","112730","64709","121930","619898","155823","65164","3009628"
"11/01/2007","4068554","818612","86152","113240","65124","122456","621059","156084","65199","3017366"
"12/01/2007","4079724","819546","86759","113264","65249","123150","622608","156238","65282","3024842"
"01/01/2008","4089971","819888","86949","113220","65064","123705","623745","156593","65215","3029688"
"02/01/2008","4099179","820671","83943","113707","64798","123880","623916","156841","65099","3031141"
"03/01/2008","4107620","822648","85102","114389","64813","123872","625266","157121","65058","3037397"
"04/01/2008","4115442","825554","86132","114833","64893","123953","627288","157620","65054","3048573"
